,time,mod.TCHWSup.T,mod.TCWSup.T,mod.TSup.T,mod.conVAVSou.VDis_flow,mod.conVAVEas.VDis_flow,mod.conVAVNor.VDis_flow,mod.conVAVWes.VDis_flow,mod.conVAVCor.VDis_flow,mod.fanSup.VMachine_flow,mod.flo.temAirSou.T,mod.flo.temAirEas.T,mod.flo.temAirNor.T,mod.flo.temAirWes.T,mod.flo.temAirPer5.T,mod.eleCoiVAV.y,mod.eleSupFan.y,mod.eleChi.y,mod.eleCHWP.y,mod.eleCWP.y,mod.eleCT.y,mod.eleHWP.y,mod.TOut.y,mod.oveRelHumOutAir.y,oveTCooOn_p,oveTChiWatSupSet_u,oveTConWatSupSet_u,conAHU_oveTSupAir_u,conVAVSou_damVal_oveVDisSet_u,conVAVEas_damVal_oveVDisSet_u,conVAVNor_damVal_oveVDisSet_u,conVAVWes_damVal_oveVDisSet_u,conVAVCor_damVal_oveVDisSet_u,mod.conAHU.supFan.oveOnSupFan.y,mod.oveOnChiPla.y,mod.eleTot.y,oveOnChiPla_u,conAHU_supFan_oveOnSupFan_u
18316800.0,18316800.0,283.15,293.15,293.15,2.694235945455147e-13,2.5585116247839317e-13,2.694235945455147e-13,1.989953485943058e-13,1.2780295340538332e-12,2.2717232341652773e-12,297.15,297.15,297.15,297.15,297.15,0.0,-3.5467519092178676e-25,0.0,0.0,0.0,0.0,0.0,294.45,0.66,297.15,283.15,293.15,293.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.5467519092178676e-25,0.0,0.0
18316809.0,18316809.0,283.15,293.15,293.14965067928466,0.0011952677122775682,0.0011350551319566917,0.0011952677122775682,0.0008828206581885379,0.00566983541277648,0.010078253229887157,297.12481126802044,297.1234268537583,297.12421889501525,297.1217606326503,297.1508918214702,0.0,-6.980563857702697e-06,0.0,0.0,0.0,0.0,0.0,294.44775,0.6602185369198069,297.15,283.15,293.15,293.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.980563857702697e-06,0.0,0.0
18316818.0,18316818.0,283.15,293.15,293.1496464082876,0.0012008620437863988,0.0011403676444789832,0.0012008620437863988,0.0008869526123725424,0.005696372512853534,0.01012542337327776,297.1005471445867,297.0978017597565,297.0992053430779,297.0943746303538,297.15180311142615,0.0,-7.046060279794652e-06,0.0,0.0,0.0,0.0,0.0,294.4455,0.6604417788143383,297.15,283.15,293.15,293.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.046060279794652e-06,0.0,0.0
18316827.0,18316827.0,283.15,293.15,293.14964230658853,0.0012069236753078061,0.0011461239163967558,0.0012069236753078061,0.0008914297127530322,0.0057251262829974515,0.010176533696896958,297.0771350344248,297.07319879480525,297.0750297782119,297.068021578409,297.1525564869577,0.0,-7.117372918660889e-06,0.0,0.0,0.0,0.0,0.0,294.44325,0.660669701798024,297.15,283.15,293.15,293.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.117372918660889e-06,0.0,0.0
18316836.0,18316836.0,283.15,293.15,293.14963837132956,0.001213468853321769,0.0011523393757603845,0.001213468853321769,0.0008962639589247435,0.0057561737895144485,0.010231721187423382,297.0546392414205,297.0497213526371,297.0517792380343,297.04284357308035,297.1530993108317,0.0,-7.194777468199077e-06,0.0,0.0,0.0,0.0,0.0,294.441,0.6609022819852942,297.15,283.15,293.15,293.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.194777468199077e-06,0.0,0.0
18316845.0,18316845.0,283.15,293.15,293.1496345998636,0.0012205013061980055,0.0011590175631199392,0.0012205013061980055,0.0009014581046488416,0.00578953271818524,0.010291017281493071,297.0331000487741,297.0274297145464,297.0295036403497,297.0189167150905,297.1533975145778,0.0,-7.278411179424197e-06,0.0,0.0,0.0,0.0,0.0,294.43874999999997,0.661139495490579,297.15,283.15,293.15,293.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.278411179424197e-06,0.0,0.0
18316854.0,18316854.0,283.15,293.15,293.1496309898476,0.0012280240733814542,0.0011661613648058548,0.0012280240733814542,0.0009070143948489982,0.005825217486828004,0.01035444760690617,297.01253513677943,297.00634643849764,297.008225834901,296.9962701637927,297.1534331029218,0.0,-7.3684109863205404e-06,0.0,0.0,0.0,0.0,0.0,294.43649999999997,0.6613813184283089,297.15,283.15,293.15,293.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.3684109863205404e-06,0.0,0.0
18316863.0,18316863.0,283.15,293.15,293.1496275393147,0.0012360402449514223,0.0011737737152321872,0.0012360402449514223,0.0009129351118472567,0.00586324275344856,0.010422038218404926,296.992945473874,296.98646754884146,296.9879500471678,296.97490261384064,297.1531994262229,0.0,-7.464922347113469e-06,0.0,0.0,0.0,0.0,0.0,294.43424999999996,0.6616277269129137,297.15,283.15,293.15,293.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.464922347113469e-06,0.0,0.0
18316872.0,18316872.0,283.15,293.15,293.1496242467226,0.0012445528374180682,0.0011818574789499495,0.0012445528374180682,0.0009192224836277384,0.005903622827072363,0.010493814550416803,296.9743197046318,296.96777043494455,296.9686671146815,296.9547922519222,297.1526976830603,0.0,-7.568097900857983e-06,0.0,0.0,0.0,0.0,0.0,294.43199999999996,0.6618786970588235,297.15,283.15,293.15,293.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.568097900857983e-06,0.0,0.0
18316881.0,18316881.0,283.15,293.15,293.1496211109859,0.0012535660360195014,0.0011904166303624876,0.0012535660360195014,0.000925879601393046,0.0059463775606670806,0.010569811891836993,296.9566381715384,296.95022061036116,296.95035897479954,296.9359045033691,297.1519338751349,0.0,-7.678112802657008e-06,0.0,0.0,0.0,0.0,0.0,294.42974999999996,0.6621342049804687,297.15,283.15,293.15,293.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.678112802657008e-06,0.0,0.0
